Numero	Es Primo
1	No
2	Si
3	Si
4	No
5	Si
6	No
7	Si
8	No
9	No
10	No
11	Si
12	No
13	Si
14	No
15	No
16	No
17	Si
18	No
19	Si
20	No
21	No
22	No
23	Si
24	No
25	No
26	No
27	No
28	No
29	Si
30	No
31	Si
32	No
33	No
34	No
35	No
36	No
37	Si
38	No
39	No
40	No
41	Si
42	No
43	Si
44	No
45	No
46	No
47	Si
48	No
49	No
50	No
51	No
52	No
53	Si
54	No
55	No
56	No
57	No
58	No
59	Si
60	No
61	Si
62	No
63	No
64	No
65	No
66	No
67	Si
68	No
69	No
70	No
71	Si
72	No
73	Si
74	No
75	No
76	No
77	No
78	No
79	Si
80	No
81	No
82	No
83	Si
84	No
85	No
86	No
87	No
88	No
89	Si
90	No
91	No
92	No
93	No
94	No
95	No
96	No
97	Si
98	No
99	No
100	NoHola Mundo!
Esto es un texto de prueba.
 Hoy es martes
